baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
<<<<<<< HEAD
PAxG01Ag0001300_PAxG01Bg0001000	266.927023088907	-1.94321369949913	0.049862328642084	-38.9715793950916	0	0
PAxG01Ag0001500_PAxG01Bg0001100	577.210184674193	-0.122132389127662	0.0556517847833707	-2.19458171203443	0.0281936165859172	0.045592824024429
PAxG01Ag0001700_PAxG01Bg0001300	1126.90871624386	-5.65399288420299	0.152811217802571	-36.9998548896315	1.15128348989721e-299	3.83070945379467e-298
PAxG01Ag0001800_PAxG01Bg0001400	47.4260459631092	-0.467880013932375	0.122315293771275	-3.82519633895737	0.00013066790666119	0.000277601776898485
PAxG01Ag0004200_PAxG01Bg0003400	619.122678989168	-0.400554082904033	0.0870683826293532	-4.60045392837003	4.21571256958606e-06	1.01497504603517e-05
PAxG01Ag0004400_PAxG01Bg0003600	28.4817040933424	-2.51055076775261	0.114626312109432	-21.9020460621277	2.48373557547297e-106	2.93042781544961e-105
PAxG01Ag0004900_PAxG01Bg0003700	93.8128981055419	-1.10788252029704	0.241780567963131	-4.58218180902769	4.60149555795627e-06	1.10383386698899e-05
PAxG01Ag0005000_PAxG01Bg0003800	28.245929966162	-0.724710167516087	0.24968718080596	-2.90247246645507	0.00370229703164303	0.00675468393347102
PAxG01Ag0005100_PAxG01Bg0003900	6.30348047345147	-5.10450106745469	0.248635879953275	-20.5300259496496	1.16112850837638e-93	1.27256382730824e-92
PAxG01Ag0005400_PAxG01Bg0004200	0.732669994788516	-2.63080940076343	0.65801521655866	-3.99809812077331	6.3853482462856e-05	0.00013950040453033
PAxG01Ag0006000_PAxG01Bg0004900	447.279020659204	-0.94900120427305	0.0377099542286426	-25.1658010115598	9.49051252439014e-140	1.3674025054612e-138
PAxG01Ag0006200_PAxG01Bg0005300	11.9632611713115	-4.12890791301549	0.583906931734738	-7.07117468317915	1.53627600331778e-12	5.1787729703679e-12
PAxG01Ag0006500_PAxG01Bg0005500	99.7483495507408	-1.43001871761735	0.169739653838091	-8.42477691736898	3.61438215111731e-17	1.42632401441276e-16
PAxG01Ag0006700_PAxG01Bg0005700	31.6649747496412	-0.883833835899663	0.228694420679028	-3.86469347732852	0.000111228793261887	0.000237943186325729
PAxG01Ag0006800_PAxG01Bg0005800	186.244899431939	-0.782821677139087	0.197741947576802	-3.95880432418135	7.53259174833902e-05	0.000163790488180856
PAxG01Ag0007200_PAxG01Bg0006300	133.459715610147	-0.685674497495858	0.128547102242232	-5.33403309398439	9.60550050653742e-08	2.58287440946137e-07
PAxG01Ag0007300_PAxG01Bg0006400	0.616074885188836	-2.77237382149227	1.04694789908009	-2.64805328319417	0.00809567642309275	0.014177396235064
PAxG01Ag0007700_PAxG01Bg0006600	118.718266931829	-0.19792511536026	0.0907278477295579	-2.1815255218027	0.0291445688646205	0.0469010546273033
PAxG01Ag0008100_PAxG01Bg0007000	554.919385380277	-0.559452518949706	0.0650473783608989	-8.60069280341669	7.92363139298069e-18	3.20619380512123e-17
PAxG01Ag0008200_PAxG01Bg0007100	353.426210660041	-0.305341934012477	0.0968677909035046	-3.1521513101981	0.00162072264622412	0.00307963937501502
PAxG01Ag0008400_PAxG01Bg0007200	258.367931862326	-0.441180390384144	0.118434058340379	-3.72511418224133	0.000195226834131129	0.000407089318240069
PAxG01Ag0009000_PAxG01Bg0008000	274.65287127211	-0.500586203984458	0.159271462770968	-3.14297486364082	0.00167240200900418	0.00317132402281441
PAxG01Ag0009400_PAxG01Bg0008300	125.645121104051	-0.220332083897241	0.075917592703342	-2.90225329928753	0.00370488840573119	0.00675674640240803
PAxG01Ag0009500_PAxG01Bg0008500	29.5513417465672	-1.60501810382561	0.263730115541604	-6.08583551608997	1.15885367787918e-09	3.44896927940231e-09
PAxG01Ag0010100_PAxG01Bg0009300	1.51481712241762	-2.13877204548936	0.434800185407457	-4.91897684791714	8.6997757768396e-07	2.18320471882166e-06
PAxG01Ag0010200_PAxG01Bg0009400	160.164318602235	-1.65856326143597	0.187342509593542	-8.85310688446729	8.5116080533283e-19	3.51464061332518e-18
PAxG01Ag0010500_PAxG01Bg0009700	624.053421744399	-4.368259541301	0.1301535359302	-33.5623577959777	5.94473094486808e-247	1.49425981630516e-245
PAxG01Ag0011400_PAxG01Bg0010400	194.821704385329	-0.577945297088532	0.0623597944996828	-9.26791535676841	1.89819443920228e-20	8.21248763452809e-20
PAxG01Ag0011800_PAxG01Bg0010700	336.104731344313	-0.231104466380862	0.0957104519168862	-2.41462099229822	0.0157515904962015	0.026452834438973
PAxG01Ag0012000_PAxG01Bg0010900	380.547793074235	-0.187349825004482	0.0435537939529609	-4.30157302040836	1.69589867773069e-05	3.90031396544229e-05
PAxG01Ag0012200_PAxG01Bg0011100	483.57106583042	-0.353881177650055	0.0535650805685867	-6.60656483465814	3.93340051330479e-11	1.24944899546941e-10
